Time,RAM,,Time,RAM,AVG :26.5691807990852,Smallest,CPU
57:20.6,48.5446296,,00:00.0,0.01633,26.56918,48.52830, 
57:21.6,48.53494264,,00:01.0,0.006643613,26.56918,AVG,12.02129612
57:22.6,48.53689197,,00:02.0,0.008592941,26.56918,26.57,13.78346534
57:23.6,48.52829903,,00:03.0,0,26.56918,,14.61737248
57:24.6,48.53058649,,00:04.0,0.002287468,26.56918,,9.76557195
57:25.6,48.57160189,,00:05.0,0.043302868,26.56918,,15.8164015
57:26.6,48.57028908,,00:06.0,0.041990052,26.56918,,8.422065149
57:27.6,76.96981329,,00:07.0,28.44151427,26.56918,,29.54623335
57:28.6,76.99612919,,00:08.0,28.46783016,26.56918,,34.56217023
57:29.6,76.98777494,,00:09.0,28.45947592,26.56918,,31.34653195
57:30.6,76.96205577,,00:10.0,28.43375675,26.56918,,26.6977597
57:31.6,76.91376025,,00:11.0,28.38546122,26.56918,,26.23743609
57:32.6,77.1585796,,00:12.0,28.63028057,26.56918,,43.45562334
57:33.6,76.80374269,,00:13.0,28.27544367,26.56918,,45.87526602
57:34.6,76.78751158,,00:14.0,28.25921255,26.56918,,27.10777275
57:35.6,76.7740851,,00:15.0,28.24578607,26.56918,,27.06426704
57:36.6,76.73515826,,00:16.0,28.20685923,26.56918,,26.63208878
57:37.6,76.72419827,,00:17.0,28.19589924,26.56918,,26.20316588
57:38.6,77.01100772,,00:18.0,28.48270869,26.56918,,46.05024439
57:39.6,76.79268326,,00:19.0,28.26438423,26.56918,,26.58572563
57:40.6,76.76604911,,00:20.0,28.23775009,26.56918,,26.2772372
57:41.6,76.74104601,,00:21.0,28.21274698,26.56918,,26.11608004
57:42.6,76.73605335,,00:22.0,28.20775433,26.56918,,26.22311562
57:43.6,76.68743957,,00:23.0,28.15914055,26.56918,,26.00656327
57:44.6,76.68308343,,00:24.0,28.1547844,26.56918,,26.07964856
57:45.6,76.64594678,,00:25.0,28.11764775,26.56918,,26.42589087
57:46.6,76.6374533,,00:26.0,28.10915427,26.56918,,26.88314144
57:47.6,76.62134151,,00:27.0,28.09304249,26.56918,,26.93534313
57:48.6,76.60518996,,00:28.0,28.07689093,26.56918,,27.07571072
57:49.6,76.63582223,,00:29.0,28.1075232,26.56918,,27.02773992
57:50.6,76.60600549,,00:30.0,28.07770647,26.56918,,27.08906453
57:51.6,76.60387717,,00:31.0,28.07557814,26.56918,,26.60982399
57:52.6,76.60115207,,00:32.0,28.07285304,26.56918,,26.9222903
57:53.6,76.60367824,,00:33.0,28.07537921,26.56918,,26.84474906
57:54.6,76.61022241,,00:34.0,28.08192338,26.56918,,26.7357506
57:55.6,76.60156979,,00:35.0,28.07327077,26.56918,,27.16551513
57:56.6,76.60703984,,00:36.0,28.07874082,26.56918,,27.18703273
57:57.6,76.60475235,,00:37.0,28.07645333,26.56918,,26.95911825
57:58.6,76.59255913,,00:38.0,28.0642601,26.56918,,33.38915927
57:59.6,76.59120655,,00:39.0,28.06290752,26.56918,,33.44423956
58:00.6,76.6071194,,00:40.0,28.07882038,26.56918,,32.94842303
58:01.6,76.59683572,,00:41.0,28.06853669,26.56918,,33.36620779
58:02.6,76.61447911,,00:42.0,28.08618008,26.56918,,31.81457841
58:03.6,76.59234034,,00:43.0,28.06404131,26.56918,,35.46646852
58:04.6,76.58877982,,00:44.0,28.0604808,26.56918,,35.2157443
58:05.6,76.60610496,,00:45.0,28.07780593,26.56918,,32.18615625
58:06.6,76.59858614,,00:46.0,28.07028711,26.56918,,31.58535901
58:07.6,76.57648716,,00:47.0,28.04818813,26.56918,,31.40589346
58:08.6,76.32152333,,00:48.0,27.7932243,26.56918,,37.48403357
58:09.6,76.31631186,,00:49.0,27.78801283,26.56918,,20.2515219
58:10.6,76.32204049,,00:50.0,27.79374147,26.56918,,20.27635521
58:11.6,76.32285603,,00:51.0,27.794557,26.56918,,20.25408127
58:12.6,76.29200497,,00:52.0,27.76370594,26.56918,,20.28140374
58:13.6,76.30395952,,00:53.0,27.77566049,26.56918,,20.2820512
58:14.6,76.30471538,,00:54.0,27.77641635,26.56918,,20.29526092
58:15.6,76.29272104,,00:55.0,27.76442201,26.56918,,20.83394175
58:16.6,76.29099052,,00:56.0,27.7626915,26.56918,,20.25024872
58:17.6,76.28440658,,00:57.0,27.75610756,26.56918,,20.21239083
58:18.6,76.29701753,,00:58.0,27.7687185,26.56918,,21.97488974
58:19.6,76.28951859,,00:59.0,27.76121956,26.56918,,20.43328001
58:20.6,76.26827491,,01:00.0,27.73997589,26.56918,,20.20833582
58:21.6,76.28458561,,01:01.0,27.75628658,26.56918,,20.25813624
58:22.6,76.27559483,,01:02.0,27.7472958,26.56918,,20.31689544
58:23.6,76.27141771,,01:03.0,27.74311868,26.56918,,20.25586165
58:24.6,76.2696474,,01:04.0,27.74134838,26.56918,,20.06700253
58:25.6,76.28896164,,01:05.0,27.76066261,26.56918,,20.29157621
58:26.6,76.28810631,,01:06.0,27.75980728,26.56918,,20.49532261
58:27.6,76.27985153,,01:07.0,27.75155251,26.56918,,20.27047318
58:28.6,76.24898056,,01:08.0,27.72068154,26.56918,,21.03825953
58:29.6,76.24581789,,01:09.0,27.71751886,26.56918,,20.22020784
58:30.6,76.24078544,,01:10.0,27.71248641,26.56918,,20.28239396
58:31.6,76.24840373,,01:11.0,27.7201047,26.56918,,20.24296157
58:32.6,76.45733959,,01:12.0,27.92904056,26.56918,,29.96361196
58:33.6,76.73297023,,01:13.0,28.20467121,26.56918,,40.01478964
58:34.6,76.24599691,,01:14.0,27.71769788,26.56918,,25.8788867
58:35.6,76.22723963,,01:15.0,27.6989406,26.56918,,20.38834034
58:36.6,76.23133719,,01:16.0,27.70303817,26.56918,,20.16052071
58:37.6,76.23400259,,01:17.0,27.70570357,26.56918,,20.15572244
58:38.6,76.16883942,,01:18.0,27.64054039,26.56918,,20.25657685
58:39.6,76.15302603,,01:19.0,27.624727,26.56918,,20.28040412
58:40.6,76.15604947,,01:20.0,27.62775045,26.56918,,20.54092567
58:41.6,76.15260831,,01:21.0,27.62430928,26.56918,,20.88915909
58:42.6,76.15316526,,01:22.0,27.62486623,26.56918,,20.23561347
58:43.6,76.16237483,,01:23.0,27.6340758,26.56918,,20.24597944
58:44.6,76.1635285,,01:24.0,27.63522948,26.56918,,20.43756933
58:45.6,76.15191212,,01:25.0,27.62361309,26.56918,,20.29742028
58:46.6,76.15917236,,01:26.0,27.63087333,26.56918,,20.39712174
58:47.6,76.15718326,,01:27.0,27.62888424,26.56918,,20.47266731
58:48.6,76.16683042,,01:28.0,27.63853139,26.56918,,20.53792784
58:49.6,76.14670065,,01:29.0,27.61840162,26.56918,,20.26041379
58:50.6,76.14403525,,01:30.0,27.61573622,26.56918,,20.39066098
58:51.6,76.14206604,,01:31.0,27.61376701,26.56918,,20.38234919
58:52.6,76.14829195,,01:32.0,27.61999292,26.56918,,20.54552005
58:53.6,76.15487589,,01:33.0,27.62657686,26.56918,,20.13815156
58:54.6,76.15754129,,01:34.0,27.62924226,26.56918,,20.12275011
58:55.6,76.1541797,,01:35.0,27.62588068,26.56918,,20.17125736
58:56.6,76.14224506,,01:36.0,27.61394603,26.56918,,20.34062319
58:57.6,76.15555219,,01:37.0,27.62725317,26.56918,,20.1496862
58:58.6,76.16360806,,01:38.0,27.63530904,26.56918,,20.17876928
58:59.6,76.14421427,,01:39.0,27.61591525,26.56918,,20.18150154
59:00.6,76.14160855,,01:40.0,27.61330952,26.56918,,20.71934109
59:01.6,76.12911695,,01:41.0,27.60081792,26.56918,,20.36647151
59:02.6,76.14493034,,01:42.0,27.61663132,26.56918,,20.84227331
59:03.6,76.14405513,,01:43.0,27.61575611,26.56918,,20.15298517
59:04.6,76.1459249,,01:44.0,27.61762588,26.56918,,20.22875886
59:05.6,76.13154365,,01:45.0,27.60324462,26.56918,,20.13661714
59:06.6,76.12760523,,01:46.0,27.5993062,26.56918,,20.16462299
59:07.6,76.14359764,,01:47.0,27.61529862,26.56918,,20.29246381
59:08.6,76.11197084,,01:48.0,27.58367181,26.56918,,20.41420811
59:09.6,76.111394,,01:49.0,27.58309497,26.56918,,20.25858078
59:10.6,76.11384061,,01:50.0,27.58554158,26.56918,,21.42885549
59:11.6,76.12581502,,01:51.0,27.59751599,26.56918,,20.26942518
59:12.6,76.12263245,,01:52.0,27.59433343,26.56918,,20.47026592
59:13.6,76.11236865,,01:53.0,27.58406962,26.56918,,20.21931398
59:14.6,76.1374314,,01:54.0,27.60913238,26.56918,,20.19879491
59:15.6,76.18807409,,01:55.0,27.65977507,26.56918,,25.27041446
59:16.6,76.23752332,,01:56.0,27.70922429,26.56918,,25.64104251
59:17.6,76.24553942,,01:57.0,27.71724039,26.56918,,20.22594088
59:18.6,76.2319538,,01:58.0,27.70365477,26.56918,,21.71198897
59:19.6,76.23097915,,01:59.0,27.70268012,26.56918,,20.32780436
59:20.6,76.2471307,,02:00.0,27.71883168,26.56918,,20.30967339
59:21.6,76.21323631,,02:01.0,27.68493728,26.56918,,20.31209722
59:22.6,76.21691615,,02:02.0,27.68861713,26.56918,,20.21343566
59:23.6,76.20380793,,02:03.0,27.6755089,26.56918,,20.19357685
59:24.6,76.20981505,,02:04.0,27.68151602,26.56918,,20.3301818
59:25.6,76.23841841,,02:05.0,27.71011939,26.56918,,21.13907187
59:26.6,76.22053634,,02:06.0,27.69223732,26.56918,,20.23010448
59:27.6,76.23923395,,02:07.0,27.71093492,26.56918,,20.29159373
59:28.6,76.23985058,,02:08.0,27.71155155,26.56918,,21.35841394
59:29.6,76.23901513,,02:09.0,27.71071611,26.56918,,20.18387731
59:30.6,76.21980037,,02:10.0,27.69150134,26.56918,,20.33310004
59:31.6,76.21492706,,02:11.0,27.68662803,26.56918,,20.27245331
59:32.6,76.52652077,,02:12.0,27.99822174,26.56918,,36.8483137
59:33.6,76.22407695,,02:13.0,27.69577793,26.56918,,39.38955338
59:34.6,76.22429574,,02:14.0,27.69599672,26.56918,,20.53887609
59:35.6,76.22361944,,02:15.0,27.69532041,26.56918,,20.7808612
59:36.6,76.20490195,,02:16.0,27.67660293,26.56918,,20.43402034
59:37.6,76.21552378,,02:17.0,27.68722475,26.56918,,20.44359609
59:38.6,76.21051124,,02:18.0,27.68221221,26.56918,,20.3542219
59:39.6,76.20687116,,02:19.0,27.67857214,26.56918,,20.36258567
59:40.6,76.19724387,,02:20.0,27.66894485,26.56918,,20.4400834
59:41.6,76.20358914,,02:21.0,27.67529011,26.56918,,20.26406863
59:42.6,76.1907594,,02:22.0,27.66246037,26.56918,,20.34566384
59:43.6,76.210551,,02:23.0,27.68225198,26.56918,,20.0375057
59:44.6,76.1978605,,02:24.0,27.66956147,26.56918,,20.02383794
59:45.6,76.19433978,,02:25.0,27.66604075,26.56918,,19.95894991
59:46.6,76.18998363,,02:26.0,27.6616846,26.56918,,19.95440054
59:47.6,76.32375112,,02:27.0,27.7954521,26.56918,,18.85721416
59:48.6,76.33321927,,02:28.0,27.80492025,26.56918,,2.075045581
59:49.6,76.34839618,,02:29.0,27.82009715,26.56918,,1.372938856
59:50.6,76.34817736,,02:30.0,27.81987834,26.56918,,1.359237436
59:51.6,76.35285176,,02:31.0,27.82455274,26.56918,,14.57527345
59:52.6,76.35285176,,02:32.0,27.82455274,26.56918,,6.70273296
59:53.6,76.38006277,,02:33.0,27.85176375,26.56918,,3.809901344
